CVEGEO,CVE_MZA,TIPOMZA,total_incendios,acceso_bomberos_km,densidad_vial,poblacion_total,riesgo_base,densidad_incendios_500m,distancia_bomberos_m
0803706133092256,256,Típica,0.0,10.34,0.0,12,MEDIO,0,10338.097985896227
0803706133092257,257,Típica,0.0,9.69,115.04,2,ALTO,0,9685.57203694233
0803706133092254,254,Típica,0.0,9.78,28.22,12,ALTO,0,9783.71287679882
0803706133092255,255,Típica,0.0,9.76,26.75,14,ALTO,0,9760.82619333981
0803700018286011,11,Típica,0.0,13.52,0.0,25,MEDIO,0,13523.314110477897
0803700012342042,42,Típica,0.0,3.15,0.0,0,MEDIO,0,3145.6633200660276
080370001845A001,1,Típica,2.0,10.59,0.0,0,ALTO,0,10588.116625598172
0803700018286003,3,Típica,5.0,13.33,0.0,59,ALTO,0,13327.291053913665
0803700018286002,2,Típica,1.0,13.36,0.0,48,ALTO,0,13360.198148069601
080370001514A067,67,Típica,0.0,2.62,151.06,52,MEDIO,0,2621.3871186499496
0803700018271049,49,Típica,0.0,11.97,0.0,59,MEDIO,0,11971.42245688093
0803700018271048,48,Típica,1.0,11.9,0.0,64,ALTO,0,11902.13489893209
0803700015031006,6,Típica,0.0,1.55,0.0,71,BAJO,0,1550.1143234073122
0803700014940038,38,Típica,0.0,1.55,0.0,108,BAJO,0,1554.41310877235
0803700018021078,78,Típica,0.0,12.69,0.0,58,MEDIO,0,12694.305819485819
0803700017292003,3,Típica,5.0,7.11,1.08,568,ALTO,0,7105.700045684829
080370001514A066,66,Típica,0.0,2.56,62.13,51,BAJO,0,2557.9013374154147
0803700018271036,36,Típica,0.0,11.62,0.0,153,MEDIO,0,11615.5414442861
0803700018271009,9,Típica,0.0,11.41,0.0,112,MEDIO,0,11414.922770223831
0803700017057009,9,Típica,0.0,6.24,140.34,125,MEDIO,0,6244.442567932105
0803700018271047,47,Típica,1.0,11.87,0.0,0,ALTO,0,11866.97615989303
0803700018271035,35,Típica,0.0,11.65,51.34,168,MEDIO,0,11647.677436540043
0803700018271016,16,Típica,2.0,11.44,0.0,101,ALTO,0,11444.908886261823
0803700017292018,18,Típica,1.0,6.58,0.0,133,ALTO,0,6580.465272536331
0803700016788046,46,Típica,0.0,3.99,0.0,123,MEDIO,0,3989.9903426132796
