ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
08,Chihuahua,000,Total de la entidad Chihuahua,0000,Total de la Entidad,,,,3741869,1888047,1853822,163950,80466,83484,3570280,1803755,1766525,3442944,1740545,1702399,2992667,1519335,1473332,2791907,1420305,1371602,2596693,1324460,1272233,191706,94545,97161,385907,189875,196032,461498,226948,234550,200760,99030,101730,195214,95845,99369,445186,221332,223854,993597,419821,224771,195050,98.19,942323,2512947,278960,291286,143676,147610,317322,156140,161182,333715,164100,169615,326333,160391,165942,314067,156786,157281,298299,150455,147844,275644,139995,135649,263669,133057,130612,251983,127629,124354,248522,125284,123238,219930,112326,107604,173639,89611,84028,140861,74331,66530,100944,53691,47253,74018,39831,34187,50265,26792,23473,31387,17114,14273,22346,13012,9334,2.04,3061312,1553841,1507471,561040,279227,281813,3319444,1686393,1633051,89954,43506,46448,110498,56479,54019,11818,7570,4248,97700,48603,49097,106093,9903,95223,157671,    60918,    29942,    30976,167788,81744,71310,25313,32143,34662,30480,394638,121999,253004,25018,78188,22186,73786,49299,3144228,91817,44925,46892,20602,9783,10819,19677,8917,10760,143221,72827,70394,155512,79307,76205,12187,5361,6826,73223,38189,35034,91273,46867,44406,189417,90718,98699,395022,197351,197671,81652,36251,45401,734711,387587,347124,1179575,595231,584344,10,10.02,9.98,1863623,759653,1103970,1122057,756710,365347,1829503,749737,1079766,34120,9916,24204,574108,3156294,2043251,172774,28073,10831,688684,31733,127454,120058,1019091,1598428,373002,2712366,475603,3306,533329,1146395,388589,757806,3725031,1182399,2542632,1401765,1146915,1348614,1093764,1145185,1146395,186778,68072,3725031,3.25,0.8,1120637,21790,324559,818117,37607,133950,971111,1125620,17090,1125206,1048376,17437,407925,42464,1095308,32290,1105223,37136,1095836,5950,1093707,346643,15763,1081646,984232,822240,783621,77198,125791,795328,1068519,488724,460540,1051045,650546,481871,282049,179964,42113,64419,432032,20158,*
08,Chihuahua,000,Total de la entidad Chihuahua,9998,Localidades de una vivienda,,,,17223,7361,9862,838,410,428,16368,6943,9425,15721,6609,9112,13751,5650,8101,12918,5273,7645,12083,4879,7204,947,494,453,1670,799,871,1933,916,1017,833,377,456,835,394,441,1781,786,995,3515,2715,995,1720,133.98,4288,11009,1909,1485,744,741,1397,682,715,1406,654,752,1419,655,764,1197,525,672,1109,485,624,1040,463,577,1109,446,663,1119,457,662,1194,484,710,1048,400,648,968,363,605,806,306,500,655,248,407,538,180,358,352,125,227,224,80,144,140,56,84,*,16028,6916,9112,971,343,628,15037,6507,8530,188,83,105,4706,2250,2456,729,466,263,3943,1783,2160,4496,631,3831,5501,      214,       92,      122,723,367,285,130,205,151,127,1873,796,1105,176,553,169,372,161,14477,652,334,318,398,199,199,296,126,170,322,164,158,218,98,120,312,145,167,2445,1180,1265,2547,1192,1355,2748,973,1775,2928,1098,1830,530,192,338,2248,960,1288,1695,746,949,5.8,5.82,5.79,8218,1939,6279,5498,3702,1796,8007,1909,6098,211,30,181,4298,12872,3989,238,35,16,7698,477,202,352,4016,8189,1545,13288,1086,25,2720,5522,842,4680,16571,2809,13762,8645,5534,8531,5420,5494,5522,1387,1724,16571,3,0.94,4509,979,2558,2931,567,1391,3531,3993,1496,4448,852,1041,3012,498,3442,1114,3768,1721,3222,564,3425,2225,888,3259,2408,1836,3146,862,695,3439,3254,546,179,3903,756,1722,205,150,1340,1560,4557,980,*
08,Chihuahua,000,Total de la entidad Chihuahua,9999,Localidades de dos viviendas,,,,14611,5693,8918,728,356,372,13861,5325,8536,13378,5095,8283,11820,4346,7474,11123,4008,7115,10482,3688,6794,741,354,387,1300,625,675,1556,756,800,697,338,359,641,320,321,1665,691,974,2759,1719,729,990,156.65,3466,9926,1197,1211,586,625,1112,551,561,1143,536,607,1065,492,573,1241,519,722,1498,428,1070,1288,374,914,1133,326,807,968,326,642,866,294,572,760,287,473,585,233,352,522,220,302,414,184,230,334,137,197,230,81,149,121,62,59,98,45,53,*,11118,5271,5847,391,156,235,10302,4852,5450,77,32,45,4775,2372,2403,801,502,299,3956,1856,2100,4559,694,3847,5749,      167,       66,      101,506,271,208,118,157,130,120,1187,563,677,133,391,143,281,81,12831,549,267,282,362,175,187,261,120,141,210,117,93,166,73,93,304,155,149,2310,1169,1141,2366,1179,1187,2034,755,1279,2240,775,1465,583,131,452,2117,601,1516,1633,487,1146,5.91,5.12,6.35,6704,1549,5155,5091,2788,2303,6480,1524,4956,224,25,199,5519,9037,1807,125,27,12,6367,414,122,281,3310,7333,1172,10092,1493,12,2920,3465,693,2772,11607,2172,9435,5478,3470,5433,3425,3446,3465,1011,997,11607,3.35,1.16,2323,1115,1706,1732,581,975,1882,2072,1366,2505,382,933,1553,186,1454,990,1701,1737,1422,608,1436,2061,1038,1393,1062,814,1340,346,289,1729,1438,314,110,1815,406,824,106,75,1301,1602,2935,1088,*
08,Chihuahua,001,Ahumada,0000,Total del Municipio,,,,14635,7258,7377,805,382,423,13826,6873,6953,12984,6456,6528,10823,5423,5400,9942,4997,4945,9210,4655,4555,1229,598,631,1774,852,922,2075,989,1086,881,426,455,732,342,390,1749,900,849,3643,1403,712,691,101.64,4689,9015,927,1647,799,848,1594,769,825,1448,690,758,1243,601,642,1238,641,597,1139,583,556,1023,517,506,904,452,452,851,418,433,830,431,399,750,368,382,561,274,287,476,251,225,334,155,179,259,132,127,165,88,77,102,52,50,67,34,33,2.26,13521,6721,6800,924,440,484,12796,6364,6432,145,74,71,80,37,43,2,1,1,78,36,42,76,1,75,124,       45,       16,       29,646,367,224,139,77,180,112,1589,579,920,108,265,110,264,135,12321,802,386,416,174,84,90,156,74,82,437,218,219,240,133,107,66,29,37,306,134,172,636,296,340,1482,677,805,2297,1086,1211,440,205,235,2330,1257,1073,2367,1267,1100,7.78,8.02,7.53,6829,2545,4284,3986,2874,1112,6691,2508,4183,138,37,101,2258,12353,6447,462,93,5,4010,131,569,827,3531,6060,1231,10909,2300,0,1396,4227,1506,2721,14623,4932,9691,5407,4228,5289,4110,4200,4227,870,309,14623,3.46,0.88,4154,44,1227,2970,149,568,3481,4180,18,4176,3268,22,756,138,4113,48,4152,45,4123,1,4106,1149,7,4069,3766,2871,3024,420,892,2087,3787,1125,861,3946,1863,2849,616,525,316,210,2096,21,*
08,Chihuahua,001,Ahumada,0001,Miguel Ahumada,"106°30'44.695"" W","30°37'03.842"" N",1197,10510,5303,5207,497,229,268,10011,5072,4939,9435,4784,4651,7987,4114,3873,7349,3813,3536,6800,3561,3239,845,402,443,1179,556,623,1443,677,766,638,301,337,549,252,297,1238,644,594,2719,1103,586,517,98.19,3159,6626,723,1073,517,556,1052,488,564,1034,483,551,933,456,477,854,440,414,777,411,366,675,359,316,672,359,313,658,339,319,654,355,299,592,296,296,431,212,219,380,211,169,261,125,136,203,110,93,135,73,62,81,42,39,43,25,18,2.24,9710,4896,4814,657,338,319,9283,4712,4571,125,63,62,16,9,7,1,0,1,15,9,6,15,0,15,28,       29,       10,       19,512,285,178,93,61,126,87,1234,446,715,69,184,82,204,113,8712,502,240,262,31,10,21,70,28,42,377,187,190,217,122,95,38,13,25,192,91,101,222,105,117,978,478,500,1547,756,791,323,147,176,1839,1001,838,2093,1137,956,8.41,8.59,8.21,5075,2101,2974,2905,2010,895,4959,2071,2888,116,30,86,1325,9176,5075,303,91,5,3198,7,442,220,2733,4213,1040,8728,866,0,903,3134,1307,1827,10510,4279,6231,3875,3134,3794,3053,3120,3134,596,145,10510,3.35,0.88,3096,23,935,2183,98,435,2586,3115,4,3106,3097,13,168,66,3083,14,3086,32,3079,1,3078,949,5,3031,2855,2185,2149,117,725,1577,3045,955,781,2966,1485,2260,537,433,47,112,1423,11,7
08,Chihuahua,001,Ahumada,0007,Álamos de Peña,"106°47'44.358"" W","30°18'13.067"" N",1282,354,189,165,22,14,8,332,175,157,309,163,146,251,126,125,224,108,116,197,95,102,29,16,13,52,33,19,64,42,22,27,18,9,27,13,14,42,22,20,82,30,12,18,87.3,130,209,15,45,26,19,42,25,17,43,30,13,41,20,21,28,15,13,17,9,8,19,12,7,24,10,14,16,8,8,19,8,11,16,6,10,14,8,6,15,4,11,7,5,2,2,0,2,0,0,0,2,1,1,4,2,2,2.4,254,142,112,96,44,52,308,162,146,1,1,0,13,8,5,1,1,0,12,7,5,13,1,12,17,        0,        0,        0,14,10,8,3,3,3,4,23,14,12,0,7,1,2,1,316,23,12,11,5,3,2,12,8,4,5,2,3,1,1,0,6,3,3,21,6,15,22,5,17,59,20,39,50,30,20,10,6,4,59,38,21,20,9,11,6.11,6.87,5.41,132,31,101,119,95,24,131,31,100,1,0,1,93,261,81,2,0,0,178,0,0,0,91,141,19,287,19,0,48,82,13,69,354,46,308,103,82,98,77,82,82,21,0,354,4.32,1.43,77,5,35,47,7,21,54,82,0,82,0,0,35,5,65,14,81,1,81,0,65,26,0,76,58,22,54,4,2,46,76,1,0,60,0,63,0,0,4,22,81,3,2
08,Chihuahua,001,Ahumada,0010,Argelia,"105°38'11.650"" W","30°24'56.888"" N",1273,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
08,Chihuahua,001,Ahumada,0011,Atotonilco,"106°11'32.021"" W","30°29'00.715"" N",1395,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
08,Chihuahua,001,Ahumada,0013,Barreal [Colonia Menonita],"106°15'01.631"" W","30°07'39.706"" N",1389,42,24,18,5,3,2,37,21,16,34,20,14,27,15,12,23,11,12,23,11,12,4,2,2,6,4,2,6,5,1,4,4,0,0,0,0,6,3,3,9,2,1,1,75,19,22,1,8,4,4,7,5,2,4,4,0,1,0,1,5,3,2,7,3,4,4,2,2,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,42,24,18,0,0,0,34,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,41,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,12,0,12,15,15,0,12,0,12,0,0,0,13,29,6,0,0,0,0,0,23,0,5,22,0,0,42,0,0,11,0,11,42,0,42,14,11,14,11,10,11,2,1,42,3.82,0.73,10,0,4,6,0,0,10,10,0,10,0,0,1,0,10,0,10,0,10,0,10,0,0,10,10,9,10,3,2,0,0,0,0,10,10,0,0,0,10,0,0,0,1
08,Chihuahua,001,Ahumada,0014,Buenos Aires [Colonia Menonita],"106°20'41.585"" W","30°42'52.351"" N",1228,19,10,9,1,0,1,18,10,8,17,10,7,11,4,7,11,4,7,11,4,7,2,1,1,5,5,0,3,3,0,0,0,0,0,0,0,3,2,1,3,0,0,0,90,8,11,0,2,0,2,5,5,0,1,1,0,0,0,0,3,2,1,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,10,9,0,0,0,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,5.45,6,5.14,6,0,6,5,4,1,6,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,1,10,0,3,14,0,0,6,0,6,19,0,19,11,6,11,6,6,6,2,3,19,3.17,0.73,6,0,1,5,0,0,6,6,0,6,1,0,2,1,6,0,6,0,6,0,6,0,0,6,6,0,6,5,0,0,3,0,0,6,0,3,0,0,3,0,6,0,1
