CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803706133092256,8,37,613,3092,256,Rural,Típica,10.34,0.0,0.0,0.0,12.0,12.0,3,MEDIO,0,0.19936095035663345,0.0,1034.0,0
0803706133092257,8,37,613,3092,257,Rural,Típica,9.69,0.0,115.04,0.0,2.0,2.0,1,ALTO,0,0.3314123123065387,230.08,0.08422425032594523,0
0803706133092254,8,37,613,3092,254,Rural,Típica,9.78,0.0,28.22,0.0,12.0,12.0,8,ALTO,0,0.35120669847928954,338.64,0.3464399574920297,0
0803706133092255,8,37,613,3092,255,Rural,Típica,9.76,0.0,26.75,0.0,14.0,14.0,6,ALTO,0,0.3463022078656135,374.5,0.3647234678624813,0
0803700018286011,8,37,1,8286,11,Urbana,Típica,13.52,0.0,0.0,0.0,25.0,25.0,6,MEDIO,0,0.1783259057592808,0.0,1352.0,0
0803700012342042,8,37,1,2342,42,Urbana,Típica,3.15,0.0,0.0,0.0,0.0,0.0,2,MEDIO,0,0.2541037012026519,0.0,315.0,0
080370001845A001,8,37,1,845A,1,Urbana,Típica,10.59,0.0,0.0,0.0,0.0,0.0,6,ALTO,0,0.13978040070621522,0.0,1059.0,0
0803700018286003,8,37,1,8286,3,Urbana,Típica,13.33,0.0,0.0,0.0,59.0,59.0,8,ALTO,0,0.10714701917144058,0.0,1333.0,0
0803700018286002,8,37,1,8286,2,Urbana,Típica,13.36,0.0,0.0,0.0,48.0,48.0,6,ALTO,0,0.11291825914812359,0.0,1336.0,0
080370001514A067,8,37,1,514A,67,Urbana,Típica,2.62,0.0,151.06,0.0,52.0,52.0,4,MEDIO,0,0.22605950764868282,7855.12,0.017342953597669956,0
0803700018271049,8,37,1,8271,49,Urbana,Típica,11.97,0.0,0.0,0.0,59.0,59.0,12,MEDIO,0,0.10714701917144058,0.0,1197.0,0
0803700018271048,8,37,1,8271,48,Urbana,Típica,11.9,0.0,0.0,0.0,64.0,64.0,6,ALTO,0,0.10042506178129612,0.0,1190.0,0
0803700015031006,8,37,1,5031,6,Urbana,Típica,1.55,0.0,0.0,0.0,71.0,71.0,7,BAJO,0,0.46295077837211146,0.0,155.0,0
0803700014940038,8,37,1,4940,38,Urbana,Típica,1.55,0.0,0.0,0.0,108.0,108.0,5,BAJO,0,0.4064057718271817,0.0,155.0,0
0803700018021078,8,37,1,8021,78,Urbana,Típica,12.69,0.0,0.0,0.0,58.0,58.0,2,MEDIO,0,0.10714701917144058,0.0,1269.0,0
0803700017292003,8,37,1,7292,3,Urbana,Típica,7.11,184.15,1.08,0.0,568.0,568.0,22,ALTO,0,0.20219027952835744,613.44,6.522935779816514,0
